geogname1,type,loss,standard_deviation,exposure_value
Denguélé,1_analytic_mean,375.076563,990.437761,11149.341797
Comoé,1_analytic_mean,7980.226519,19450.531506,144989.34375
Savanes,1_analytic_mean,2342.072599,5900.920851,69787.492188
Vallée du Bandama,1_analytic_mean,1655.829348,3635.017932,28252.986328
Woroba,1_analytic_mean,1121.458257,2597.213839,24710.113281
Zanzan,1_analytic_mean,1758.569614,3955.090811,29073.222656
Montagnes,1_analytic_mean,6480.293407,17138.516228,153688.515625
Sassandra-Marahoué,1_analytic_mean,4197.364324,11700.663223,104755.476562
Lacs,1_analytic_mean,3652.296119,7217.925472,43397.945312
Bas-Sassandra,1_analytic_mean,15491.985698,42382.215115,241088.25
Autonome de Yamoussoukro,1_analytic_mean,368.325782,999.417982,13530.3125
Gôh-Djiboua,1_analytic_mean,1290.018025,4066.068355,60321.015625
Lagunes,1_analytic_mean,8653.544515,19594.226227,83230.78125
Autonome d' Abidjan,1_analytic_mean,8821.860013,29789.783354,417326.28125
Denguélé,2_sample_mean,375.076563,990.437761,11149.341797
Comoé,2_sample_mean,7980.226519,19450.531506,144989.34375
Savanes,2_sample_mean,2342.072599,5900.920851,69787.492188
Vallée du Bandama,2_sample_mean,1655.829348,3635.017932,28252.986328
Woroba,2_sample_mean,1121.458257,2597.213839,24710.113281
Zanzan,2_sample_mean,1758.569614,3955.090811,29073.222656
Montagnes,2_sample_mean,6480.293407,17138.516228,153688.515625
Sassandra-Marahoué,2_sample_mean,4197.364324,11700.663223,104755.476562
Lacs,2_sample_mean,3652.296119,7217.925472,43397.945312
Bas-Sassandra,2_sample_mean,15491.985698,42382.215115,241088.25
Autonome de Yamoussoukro,2_sample_mean,368.325782,999.417982,13530.3125
Gôh-Djiboua,2_sample_mean,1290.018025,4066.068355,60321.015625
Lagunes,2_sample_mean,8653.544515,19594.226227,83230.78125
Autonome d' Abidjan,2_sample_mean,8821.860013,29789.783354,417326.28125
